"Actions","Acciones"
"Are you sure?","¿Está seguro?"
"Date Added","Fecha agregada"
"Error while marking as read. Please try again later.","Error al marcar como leído. Por favor, inténtelo de nuevo más tarde."
"Error while marking. Please try again later.","Error al marcar. Por favor, inténtelo de nuevo más tarde."
"Error while removing. Please try again later.","Error al eliminar. Por favor, inténtelo de nuevo más tarde."
"Last update","Última actualización"
"Mark as Read","Marcar como leído"
"Mark as read","Marcar como leído"
"Message","Mensaje"
"Message was successfully marked as read","Mensaje se ha marcado como leído"
"Message was successfully removed","Mensaje se ha eliminado"
"Messages Inbox","Mensajes de la Bandeja de entrada"
"Notifications","Notificaciones"
"Please select messages","Por favor, seleccione los mensajes"
"Read Details","Leer Detalles"
"Remove","Eliminar"
"Severity","Gravedad"
"Show List","Mostrar lista"
"Show Toolbar","Mostrar la barra de herramientas"
"Total of %d record(s) were successfully marked as read","Un total de %d registro(s) se ha(n) marcados como leídos"
"Total of %d record(s) were successfully removed","Un total de %d registro(s) se ha(n) eliminado"
"Unable to proceed. Please, try again","No se puede proceder. Por favor, inténtelo de nuevo"
"Update frequency","Actualización de la frecuencia"
"Use HTTPS to get feed","Usar HTTPS para obtener feed"
"critical","crítico"
"major","mayor"
"minor","menores"
"notice","aviso"
