"Action","Acción"
"Add Sitemap","Añadir Mapa del sitio"
"Always","Siempre"
"CMS Pages Options","Opciones de las Páginas CMS "
"Categories Options","Opciones de las categorías"
"Daily","Diariamente"
"Edit Sitemap","Modificar Mapa del sitio"
"Enabled","Habilitado"
"Error Email Recipient","Error, Email del Destinatario"
"Error Email Sender","Error, Email del Remitente"
"Error Email Template","Plantilla de Error de Email"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Archivo ""%s"" no puede ser guardado. Asegúrese que el directirio ""%s"" tenga permisos de escritura por el servidor web."
"Filename","Nombre de archivo"
"Frequency","Frecuencia"
"Generate","Generar"
"Generation Settings","Configuracines de Generación"
"Google Sitemap","Mapa de Sitio (Sitemap) de Google"
"Google Sitemap Section","Sección de Mapa de Sitio Google"
"Hourly","Cada Hora"
"ID","ID"
"Last Time Generated","Última Vez que fue denerado"
"Link for Google","Enlace para Google"
"Monthly","Mensual"
"Never","Nunca"
"New Sitemap","Mapa del sitio Nuevo"
"Path","Ruta"
"Please create the specified folder ""%s"" before saving the sitemap.","Crear el folder especificado ""%s"" antes de guardar el mapa del sitio por favor."
"Please define correct path","Defina la ruta correcta por favor"
"Please make sure that ""%s"" is writable by web-server.","Asegúrese que ""%s"" tenga permisos de escritura por el servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Utilizar únicamente letras (a-z o A-Z), números (0-9) o guión bajo (_) en el archivo. Ni espacios u otros caractéres estan permitidos."
"Priority","Prioridad"
"Priority must be between 0 and 1","La prioridad debe estar entre 0.0 y 1.0"
"Products Options","Opciones de Productos"
"Sitemap","Mapa del Sitio"
"Sitemap ""%s"" has been successfully generated","Mapa de Sitio ""%s"" se ha generado satisfactoriamente"
"Sitemap generate Warnings","Advertencias generadas por el Mapa del sitio"
"Sitemap was successfully deleted","El mapa del sitio fue eliminado exitosamente"
"Sitemap was successfully saved","El mapa del sitio se ha guardado exitosamente"
"Start Time","Hora de inicio"
"Store View","Vista de la tienda"
"This sitemap no longer exists","Este mapa del sitio ya no existe"
"Unable to find a sitemap to delete","No se puede encontrar un mapa del sitio para eliminar"
"Unable to find a sitemap to generate","Imposible encontrar in mapa de sitio para generar"
"Unable to generate a sitemap","Imposible generar un Mapa de Sitio"
"Valid values range from 0.0 to 1.0","Rango de valores válido desde 0.0 a 1.0"
"Weekly","Semanal"
"Yearly","Anual"
