"Actions","Acciones"
"Add Answer","Agregar Respuesta"
"Add New Answer","Agregar Nueva Respuesta"
"Add New Poll","Agregar Encuesta"
"Answer Title","Título de Respuesta"
"Answer Title:","Título de Respuesta:"
"Answer was successfully saved","La respuesta se guardado exitosamente"
"Answer with the same title in this poll","Respuesta con el mismo título en esta encuesta"
"Are you sure you want to delete it?","¿Estás seguro que lo quieres eliminar?"
"Assigned Answers","Asignación de Respuestas"
"Closed","Cerrado"
"Community Poll","Encuesta comunitaria"
"Date Closed","Fecha de Cierre"
"Date Posted","Fecha de envío"
"Delete","Eliminar"
"Delete Answer","Eliminar Respuesta"
"Delete Poll","Eliminar encuesta"
"Disallow voting in a poll multiple times from same IP-address","Prohibir votar más de una vez para la misma derección IP"
"Edit Answer '%s'","Modificar Respuesta '%s'"
"Edit Poll '%s'","Modificar Encuesta '%s'"
"Edit Poll Answer","Modificar Respuesta de Encuesta"
"ID","ID"
"Invalid Answer","Respuesta no válida"
"New Poll","Encuesta nueva"
"Number of Responses","Número de respuestas"
"Open","Abrir"
"Poll Answers","Respuestas de la Encuesta"
"Poll Information","Información de la Encuesta"
"Poll Manager","Administrador de Encuesta"
"Poll Question","Pregunta de Encuesta"
"Poll information","Información de la encuesta"
"Poll not exists","La encuesta no existe"
"Poll with the same question","Encuesta con la misma pregunta"
"Save Answer","Guardar Respuesta "
"Save Poll","Guardar Encuesta"
"Status","Estatus"
"Unable to find answer to delete.","No se puede encontrar la respuesta a suprimir."
"Visible In","Visible En "
"Vote","Votar"
"Votes Count","Conteo de Votos"
"Votes Count:","Conteo de Votos:"
