"%s is not supported currency.","%s no es una divisa soportada."
"Accept","Aceptar"
"Basic","Básico"
"Cannot retreive rate from strikeirion.","No se puede recuperar la tasa de strikeiron."
"Cannot retrieve rate from %s to %s","No se puede recuperar la tasa de %s a %s"
"Check all email servers","Marque todos los servidores de E-mail"
"Complete","completo"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"Customer Tax Class","Impuesto al cliente"
"Email Verification","Verificación de E-mail"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","La dirección de correo electrónico no puede ser verificada. Por favor, compruebe de nuevo y asegúrese de que su dirección de correo electrónico haya sido introducida correctamente."
"Enable US address verification","Activar la verificación de dirección para EUA"
"Enable email verification","Activar el correo electrónico de verificación"
"Enable foreign exchange rate","Activar tipo de cambio"
"Enable global address verification","Activar la verificación de direcciones globales"
"Enable sales and use tax","Activar ventas y uso de impuestos"
"Error Email Recipient","Error de E-mail del Destinatario"
"Error Email Sender","Error en el Email de Envío"
"Error Email Template","Plantilla de error de E-mail"
"Error address action","Error de la acción de dirección"
"Foreign Exchange Rates","Tipos de cambio"
"Global Address Verification","Verificación de la dirección global"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si el tipo esta completo y el código postal pertenece a varias tasa de impuestos, optar por cobrar el impuesto mínima o el máximo."
"Invalid email address","dirección de correo electrónico inválida"
"Maximum tax rate","La tasa máximo de impuestos"
"Minimum tax rate","La tasa mínima de impuestos"
"Password","Contraseña"
"Pop up warning and accept","Aparecer ventana en el navegador (Pop up) de advertencia y de aceptar"
"Product Tax Class","Clase de Impuesto de producto"
"Reject","Rechazar"
"Sales and Use Tax","Impuesto sobre Ventas y Uso"
"Sales and Use Tax Type","Tipo de Impuesto sobre Ventas y Uso "
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuración de Strikeiron"
"Strikeiron Section","Sección Strikeiron"
"Strikeiron foreign exchange rate is disabled","El tipo de cambio Strikeiron está desactivado"
"Tax","Impuestos"
"There is an error in retrieving tax rate. Please contact us","Hay un error en la recuperación del tipo de impuesto. Póngase en contacto con nosotros"
"There is an error in verifying an email. Please contact us.","Hay un error en la verificación de un mensaje de correo electrónico. Por favor, contacte con nosotros."
"There is no more hits remaining for the foreign Exchange Rate Service.","No quedan más visitas para el servicio de tipo de cambio."
"There is no response back from Strikeiron server","No hay respuesta desde el servidor Strikeiron"
"US Address Verification","Verificación de Dirección de EUA"
"Undetermined email action","Acción indefinida de e-mail"
"Use","Uso"
"User ID","ID de Usuario"
"Verify address in admin","Compruebe la dirección en administración"
"Verify email in admin","Verificar E-mail en administración"
