"All Websites","Todos lo Sitios Web"
"Apply Percent Discounts To FPT","Aplicar Porcentaje de Descuentos a FPT"
"Apply Tax To FPT","Aplicar Impuestos a FPT"
"Display Prices In Emails","Mostrar Precios en Emails"
"Display Prices In Product Lists","Mostrar Precios en Listas de Productos"
"Display Prices In Sales Modules","Mostrar Precios en Módulos de Ventas"
"Display Prices On Product View Page","Mostrar Precios en Página de Vista de Productos"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluir FPT"
"Excluding FPT, FPT description, final price","Excluir FPT, descripción FPT, precio final"
"Fixed Product Tax","Impuestos Fijos de Producto"
"Fixed Product Taxes","Impuestos Fijos de Producto"
"Include FPT In Subtotal","Incluir FPT en Subtotal"
"Including FPT and FPT description [excl. FPT VAT]","Incluir FPT y descripción FPT [excl. FPT IVA]"
"Including FPT and FPT description [incl. FPT VAT]","Includir FPT and FPT description [incl. FPT IVA]"
"Including FPT only","Incluir sólo FPT"
"Total","Total"
"Total incl. tax","Total incl. impuestos"
