"(eg: domain.com/identifier)","(ej: dominio.mx/identificador)"
"Action","Acción"
"Add New Block","Agregar un nuevo Bloque"
"Add New Page","Agregar una nueva página"
"All countries","Todos los países"
"Block Information","Bloque de información"
"Block Title","Bloque de Título"
"Block was successfully deleted","Bloque eliminado"
"Block was successfully saved","Bloque guardado"
"CMS","CMS"
"CMS Home Page","Página de Inicio CMS"
"CMS No Route Page","Página sin ruta CMS"
"Content","Contenido"
"Custom Design","Diseño personalizado"
"Custom Theme","Tema personalizado"
"Custom Theme From","Tema personalizado de"
"Custom Theme To","Tema personalizado para"
"Customer Tax Class Information","Información sobre impuestos del cliente"
"Date Created","Fecha de creación"
"Delete Block","Borrar Bloque"
"Delete Page","Borrar Página"
"Description","Descripción"
"Disabled","Inhabilitado"
"Edit Block","Modificar Bloque"
"Edit Block '%s'","Modificar Bloque '%s'"
"Edit Page","Modificar Página"
"Edit Page '%s'","Modificar Página '%s'"
"Enabled","Habilitado"
"General Information","Información General"
"Go to Home Page","Ir a página de inicio"
"Home","Inicio"
"Identifier","Identificador"
"Keywords","Palabras clave"
"Last Modified","Ultima modificación"
"Layout","Formato"
"Layout Update XML","Actualizar Formato XML"
"Manage Pages","Administrar páginas"
"Meta Data","Meta Datos"
"Meta Description","Meta Descripción"
"Meta Keywords","Meta Palabras Clave"
"New Block","Bloque Nuevo"
"New Page","Página Nueva"
"Page Identifier cannot consist only of numbers.","El identificador de la página no puede conformarse solo por números."
"Page Identifier for specified store already exist.","Ya existe un Identificador de Página en este elemento."
"Page Information","Información de la página"
"Page Status","Estatus de la página"
"Page Title","Título de página"
"Page was successfully deleted","Página eliminada"
"Page was successfully saved","Página guardada"
"Poll Manager","Administrador de encuestas"
"Product Tax Class Information","Información de Impuestos del Producto"
"SEF URL Identifier","Identificador SEF URL"
"Save Block","Guardar Bloque"
"Save Page","Guardar Página"
"Show breadcrumbs for CMS pages","Mostrar Hilo  en páginas de CMS"
"Static Blocks","Bloques estáticos"
"Status","Estatus"
"Store View","Guardar Vista"
"Such a block identifier in selected store already exist.","El identificador ya existe en la tienda seleccionada."
"The page you are trying to save no longer exists","La página que trata de guardar ya no existe"
"This block no longer exists","Este Bloque ya no existe"
"This page no longer exists","Esta Página ya no existe"
"Title","Título"
"Unable to find a block to delete","No es posible encontrar un Bloque para eliminar"
"Unable to find a page to delete","No se encontró una página para eliminar"
