" and "," y "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta absoluta o relativa para instalar raíz de Magento, ejem. var/export)"
"(For US 2-letter state names)","(Para EE.UU. los nombres de estados en 2 letras)"
"(If left empty will be auto-generated)","(Si se deja vacío se genera automáticamente)"
"(Leave empty for first spreadsheet)","(Deje vacío para la primer hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Productos serán añadidos/actualizados a la tienda si la columna de la 'tienda' está en blanco o falta en el archivo de importación de productos.)"
"(Shift-)Click or drag to change value","(Shift-)Clic o arrastre para cambiar valor"
"(Starting with)","(Empezar con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando 'No', sólo campos mapeados seran importados. Cuando mapee, utilice 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Hay que aumentar memory_limit de php antes de cambiar este valor)"
"(\t for tab)","(t para tab)"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes del tiempo para aumentarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga el botón del mouse en cualquiera de los botones de arriba para una selección más rápida."
"- Use the %s buttons to select month","- Use los botones de %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Utilice el botón %s, %s para seleccionar año"
"- or Shift-click to decrease it","- o Shift-clic para disminuirlo"
"- or click and drag for faster selection.","- o clic y arrastre para una selección más rápida."
"API:","API"
"About the calendar","Acerca del calendario"
"Access Denied.","Acceso denegado."
"Account Created in:","Creado en cuenta:"
"Account Created on (%s):","Creado en cuenta (%s):"
"Account Created on:","Cuenta creada el:"
"Action","Acción"
"Actions","Acciones"
"Add","Add"
"Add Contents Path","Añadir Contenido de ruta"
"Add Field with URL:","Añadir campo con la URL:"
"Add Maintainer","Añadir mantenimiento"
"Add New Role","Añadir Rol Nuevo"
"Add New Template","Añadir plantilla nueva"
"Add New User","Agregar usuario nuevo"
"Add PHP Extension dependency","Añadir Extensión PHP dependiente"
"Add Package dependency","Añadir Paquete dependiente"
"Add Subpackage dependency","Añadir Sub-paquete dependiente"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Tipo de dirección:"
"All","Todo"
"All Websites","Todos los sitios web"
"All fields","Todos los campos"
"Archive file name:","Archivo de nombre de archivo:"
"Are you sure that you want to delete this template?","¿Está seguro que desea eliminar esta plantilla?"
"Are you sure that you want to strip tags?","¿Estás seguro de que desea deshacer las etiquetas?"
"Attribute Set Name:","Nombre de atributo establecido:"
"Attributes","Atributos"
"Available Products","Productos Disponibles"
"Big Image","Imagen Grande"
"Billing Address","Dirección de Facturación"
"Bundle Items","Paquete de artículos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paquete de precios dinámicos no pueden incluir opciones personalizadas definidas. Las Opciones no se guardarán."
"CSV / Tab separated","CSV / Pestaña separadas"
"Card Verification Number","Número de Verificación de Tarjeta"
"Catalog","Catálogo"
"Channel","Canal"
"Channel:","Canal:"
"Choose Store View","Elija la vista de la tienda"
"Client Session timeout (sec.)","Vencimiento de Sesión de Cliente en (seg.)"
"Close","Cerrar"
"Comments History","Historia de Comentarios"
"Confirmed email:","Confirmar el email:"
"Connect with the Magento Community","Conéctate con la Comunidad de Magento"
"Contents","Contenidos"
"Country:","País:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","Tipo de Tarjeta: %s"
"Credit Memo History","Historial de notas de crédito"
"Credit Memo Totals","Apuntes de Crédito Total"
"Current Configuration Scope:","Alcance de configuración actual:"
"Current Release Information","Información de la versión actual"
"Custom","Preferencias"
"Customer Group:","Grupo de los clientes:"
"Customer Since:","Cliente Desde:"
"Customers","Clientes"
