"-- Please Select --","-- Seleccionar Por favor --"
"Add New Class","Agregar Nueva Clase"
"Add New Tax Rate","Agregar Tasa Nueva de Impuestos"
"Add New Tax Rule","Agregar Regla Nueva Fiscal"
"Apply Discount On Prices Including Tax","Aplicar Descuento sobre los precios incluyendo impuestos"
"Apply Tax After Discount","Aplicar Impuestos Después del Descuento"
"Apply Tax On","Aplicar Impuestos Sobre"
"Are you sure you want to do this?","¿Estás seguro de que quieres hacer esto?"
"Back","Regresar"
"CSV","CSV"
"Calculation","Cálculo"
"Catalog prices include tax","Catálogo de precios incluyando impuestos"
"Class Name","Nombre de Clase"
"Code","Código"
"Country","País"
"Country/Region/Postal code combination","Código de combinación País/Región/Postal"
"County","Condado"
"Custom price if available","Precio personalizado si disponible"
"Customer Tax Class","Impuesto al cliente"
"Customer Tax Class Information","Impuesto sobre la clase de información al cliente"
"Customer Tax Classes","Impuesto sobre las clases de clientes"
"Default Country","País Predeterminado"
"Default Post Code","Código Postal Predeterminado"
"Default State","Estado Predeterminadado"
"Default Tax Origin Calculation","Origen de Impuestos Predeterminado Calculado"
"Delete Class","Eliminar Clase"
"Delete Rate","Eliminar Tasa"
"Delete Rule","Eliminar Regla"
"Display","Mostrar"
"Display Cart/Order Prices","Mostrar Precios de Carrito/Pedido"
"Display Product Prices","Mostrar Precios en Productos"
"Display Shipping Prices","Mostrar Precios de Envío"
"Display Zero Tax Subtotal","Mostrar Subtotal de Impuesto Cero"
"Display full tax summary","Mostrar resumen completo de impuestos"
"Edit Class","Modificar Clase"
"Edit Class '%s'","Modificar Clase '%s'"
"Edit Rule","Modificar Regla"
"Edit Tax Rate","Modificar Tasa de Impuesto"
"Error while deleting this class. Please try again later.","Error al eliminar esta clase. Por favor, inténtelo de nuevo más tarde."
"Error while deleting this rate. Incorrect rate ID","Error al eliminar este tipo de cambio. Tasa ID Incorrecta"
"Error while deleting this rate. Please try again later.","Error al eliminar este tipo de tasa. Por favor, inténtelo de nuevo más tarde."
"Error while deleting this tax rule. Please try again later.","Error al suprimir esta regla fiscal. Por favor, inténtelo de nuevo más tarde."
"Error while saving this rate. Please try again later.","Error al guardar esta tasa. Por favor, inténtelo de nuevo más tarde."
"Error while saving this tax class. Class with the same name ","Error al guardar esta clase de impuestos. Clase con el mismo nombre"
"Error while saving this tax class. Please try again later.","Error al guardar esta clase de impuestos. Por favor, inténtelo de nuevo más tarde."
"Error while saving this tax rule. Please try again later.","Error al guardar esta regla fiscal. Por favor, inténtelo de nuevo más tarde."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error mientras se guardaba esta regla de impuestos. Esta clases de impuestos de producto, clase de impuestos de cliente y combinación de tasa de impuestos"
"Excl. Tax","Excl. Impuesto"
"Excl. Tax:","Excl. Impuestos:"
"Excluding tax","Excluyendo Impuestos"
"Export Tax Rates","Tasa de Impuestos de Exportación"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignorar cuando 'Aplicar Impuesto Después del Descuento' la opción esta habilitada"
"Import / Export Tax Rates","Importar / Exportar Tasas de Impuestos"
"Import Tax Rates","Tarifas de Impuestos de Importación"
"Inc. Tax","Inc. Impuestos"
"Incl. Tax","Incl. Impuestos"
"Incl. Tax:","Incl. Impuestos:"
"Including and excluding tax","Incluir y Excluir Impuestos"
"Including tax","Incluir impuestos"
"Incorrect rate Data","Datos tasa incorrectos"
"Invalid data for tax rate calculation","Datos inválidos para el cálculo de la tasa de impuestos"
"Invalid file format upload attempt","Intento de subir un formato de archivo inválido"
"Invalid file upload attempt","Intento de subir un archivo inválido"
"Manage Customer Tax Classes","Gestión de Clientes para Clases de Impuestos "
"Manage Product Tax Classes","Gestión de Producto de Clases de Impuestos "
"Manage Tax Rates","Gestión de Tasas de Impuestos"
"Manage Tax Rules","Gestión de Reglas de Impuestos"
"Manage Tax Zones & Rates","Gestión de Zonas y Tasas de Impuestos"
"Name","Nombre"
"New Class","Clase Nueva"
"New Rule","Regla Nueva"
"New Tax Rate","Tipo de Impuesto Nuevo"
"None","Ninguno"
"One of the country has invalid code.","Uno de los países tiene un código inválido."
"Original price only","Sólo precio original"
"Please select Country","Por favor seleccione País"
"Please select County","Por favor, seleccione Condado"
"Please select State","Por favor, seleccione Estado"
"Priority","Prioridad"
"Product Tax Class","Impuesto sobre la clase de producto"
"Product Tax Class Information","Clase de Productos de Información de Impuestos"
"Product Tax Classes","Impuesto sobre las clases de productos"
"Rate","Tasa"
"Reset","Reiniciar"
"Sales","Ventas"
"Save Class","Guardar Clase"
"Save Rate","Guardar Tasa"
"Save Rule","Guardar Regla"
"Shipping prices include tax","Los precios de envíos incluyen impuestos"
"Sort Order","Ordenar Pedido"
"State","Estado"
"State/Region","Estado/Región"
"Tax","Impuestos"
"Tax Based On","Impuesto Basado En"
"Tax Class for Shipping","Clase de Impuesto para Envío"
"Tax Classes","Clases de Impuestos"
"Tax Identifier","Identidicador de Impuestos"
"Tax Rate","Tasa de Impuesto"
"Tax Rate Information","Información de Tasa de Impuesto"
"Tax Rule Information","Información de Regla Tributaria"
"Tax Rules","Reglas de Impuestos"
"Tax Section","Sección de Impuestos"
"Tax Titles","Título de Impuestos"
"Tax class was successfully deleted","La clase de impuesto se ha eliminado"
"Tax class was successfully saved","Clase de impuestos se ha salvado"
"Tax rate was successfully deleted","Tasa de impuestos se ha eliminado"
"Tax rate was successfully imported","Tasa de impuestos se ha importado exitosamente"
"Tax rate was successfully saved","Tasa de impuestos se ha guardado"
