"Billing Information","Información de facturación"
"Change Payment Method","Cambiar método de pago"
"Change Shipping Address","Cambiar la dirección de envío"
"Edit Shopping Cart","Editar Carrito de Compra"
"Email","Email"
"Incl. Tax","Incl. Impuestos"
"Items in Your Shopping Cart","Artículos en su Carrito de compras"
"No shipping method required.","No se requiere un método de envío."
"PayPal Account","Cuenta PayPal"
"PayPal Email","PayPal E-mail"
"Payment Method","Metodo de Pago"
"Place an Order","Hacer un pedido"
"Please select a shipping method...","Favor de seleccionar método de envío..."
"Price","Precio"
"Product Name","Nombre del Producto"
"Qty","Cantidad"
"Review Order","Revisar Pedido"
"Shipping Address","Dirección de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Sorry, no quotes are available for this order at this time.","Disculpe, por el momento no hay cotizaciones disponibles para este pedido."
"Submitting order information...","Enviando información del pedido ..."
"Subtotal","Subtotal"
"Update Shipping Method","Actualizar Método de envío"
"You will be redirected to PayPal website when you place an order.","Usted será redirigido a la página web de PayPal cuando introduzca su pedido."
"You will be redirected to Paypal in a few seconds.","Será redireccionado a Paypal en unos segundos."
"Your billing address will be ignored and you will be redirected to PayPal website","Su dirección de facturación será ignorada y Usted será redirigido al sitio web de PayPal"
