"Action","Acción"
"All types","Todos los tipos"
"Backup file ""%s"" can't read or write","El archivo de respaldo ""%s"" no se puede leer o escribir"
"Backup file ""%s"" doesn't exist","El archivo de respaldo ""%s"" no existe"
"Backup file doesn't exist","El archivo de respaldo no existe"
"Backup file handler don't specify","Manejador de archivo de respaldo no especificado"
"Backup file path don't specify","Ruta de archivo de respaldo no especificada"
"Backups","Respaldos"
"Cannot read backup file","No se puede leer el archivo de respaldo"
"Create Backup","Crear respaldo"
"DB","BD"
"Database was successfuly backed up.","La base de datos fue respaldada exitosamente."
"Download","Descargar"
"Error write to Backup file ""%s""","Error de escritura al respaldar archivo ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Archivo comprimido con Zlib, pero esta extensión no está soportada por el servidor"
"Size, byte","Tamaño, byte"
"Time","Tiempo"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Imposible de crear respaldo. Trate más tarde por favor."
"Wrong order of creation for new backup","Orden incorrecto en la creación del respaldo nuevo"
