"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s został pomyślnie dodany doTwojej listy życzeń. Kliknij <a href=""%2$s"">tu</a> aby wrócić do zakupów"
"%s's Wishlist","Lista życzeń %s"
"* Required Fields","* wymagane pola"
"Add All to Cart","Dodaj wszystko do koszyka"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj listy życzeń"
"Added On","Dodano"
"Are You sure?","Jesteś pewny?"
"Are you sure you want to remove this product from your wishlist?","Czy na pewno chcesz usunąć wszystkie przedmioty z przechowalni?"
"Are you sure you would like to remove this item from the wishlist?","Czy na pewno chcesz usunąć ten produkt z listy?"
"Back","Powrót"
"Can't save description %s","Nie można zapisać opisu %s"
"Cannot create wishlist","Nie można utworzyć listy życzeń"
"Cannot specify product","Nie można ustalić produktu"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaznacz to pole jeśli chcesz dodać link do wątku RSS do twojej listy."
"Comment","Komentarz"
"Email Sender","Nadawca"
"Email Template","Szablon e-mail"
"Email address can't be empty.","Pole e-mail nie może być puste."
"Email addresses, separated by commas","Adresy e-mail rozdzielane przecinkami"
"Enabled","Włączone"
"General Options","Opcje ogólne"
"Go to Wishlist","Przejdź do listy życzeń"
"Last Added Items","Ostatnio dodane produkty"
"Message","Wiadomość"
"My Wishlist","Moja lista życzeń"
"My Wishlist (%d item)","Lista życzeń (%d produkt)"
"My Wishlist (%d items)","Lista życzeń (%d produktów)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Wpisz prawidłowe adresy e-mail w formacie jan.kowalski@domena.pl, oddzielając je przecinkami."
"Please, enter your comments...","Wpisz swój komentarz..."
"Product","Produkt"
"RSS Feed","Kanał RSS"
"RSS link to %s's wishlist","Link RSS do listy %s"
"Remove Item","Usuń produkt"
"Share Wishlist","Podziel się listą życzeń"
"Share Your Wishlist","Podziel się swoją listą życzeń"
"Share options","Opcje współdzielenia"
"Sharing Information","Współdzielone informacja"
"There was an error while adding item to wishlist.","Wystąpił błąd podczas dodawania produktu do listy życzeń."
"There was an error while adding item to wishlist: %s","Wystąpił błąd podczas dodawania produktu do listy życzeń: %s"
"There was an error while deleting item from wishlist.","Wystąpił błąd podczas usuwania produktu z listy życzeń."
"There was an error while deleting item from wishlist: %s","Wystąpił błąd podczas usuwania produktu z listy życzeń: %s"
"This product(s) is currently out of stock:","Ten produkt jest obecnie niedostępny:"
"Update Wishlist","Aktualizuj listę życzeń"
"View Product","Zobacz produkt"
"Wishlist","Lista życzeń"
"Wishlist Section","Sekcja listy życzeń"
"Wishlist Sharing","Podziel się swoją listą życzeń"
"Wishlist is empty now.","Lista życzeń jest pusta."
"You have no items in your wishlist.","Nie masz żadnych produktów na liście życzeń."
"You input not valid email address.","Wprowadzony adres e-mail jest nieprawidłowy."
"Your Wishlist was successfully shared","Lista życzeń została rozesłana"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Moja lista życzeń - <a href=""%s"">%d produkt(y)</a>"
"My Wishlist","Moja lista życzeń"
"Are you sure you want to remove this product from your wishlist?","Czy na pewno chcesz usunąć wszystkie przedmioty z przechowalni?"
"Please, enter your comments...","Wpisz swój komentarz..."
