"<a href=""%s"" target=""_blank"">Link</a>","<a href=%s"" target=""_blank"">Link</a>"""
"Access denied to destination folder ""%s""","Dostęp do folderu ""%s"" jest zabroniony"
"Could not load file: ""%s""","Nie można załadować pliku: ""%s"""
"Could not save file: %s","Nie można zapisać pliku: %s"
"Declared adapter %s not found","Deklarowany adapter %s nie został znaleziony"
"Destination folder ""%s"" does not exist or not access to create","Docelowy folder ""%s"" nie istnieje lub brak uprawnień do jego utworzenia"
"Destination folder ""%s"" is not a directory","Docelowy folder ""%s"" nie jest katalogiem"
"Destination folder ""%s"" is not a writeable","Docelowy folder ""%s"" nie jest zapisywalny"
"Done","Zrobione"
"Dry run set, stopping execution","Test ustawiony, zatrzymywanie wykonania"
"ETA: %s","Czas: %s"
"Error field mapping! Fields list for mapping is not defined","Błąd mapowania pola! Lista pól do mapowania jest niezdefiniowana"
"Error occured during file opening: ""%s""","Wystąpił błąd podczas otwierania pliku: ""%s"""
"File ""%s"" don't exist","Plik ""%s"" nie istnieje"
"Found %d rows","Znaleziono %d rzędów"
"Less than a minute","Mniej niż minutę"
"Loaded successfully: ""%s""","Załadowano pomyślnie: ""%s"""
"Memory Used: %s","Zużycie pamięci: %s"
"Method ""%s"" not defined in adapter %s","Metoda ""%s"" nie została zdefiniowana w adapterze ""%s"""
"Please declare ""adapter"" and ""method"" node first","Zadeklaruj ""adapter"" i ""method"" wpierw"
"Processed records: %s","Przetworzone wpisy: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Pomyślnie zapisano: ""%s"" [%d bajt(ów)]"
"Sheet 1","Arkusz 1"
"Skip undefined row","Pomiń niezdefiniowany rząd"
"Starting %s :: %s","Rozpoczynając %s :: %s"
"Total records: %s","Wpisy łącznie: %s"
"hour","godz."
"hours","godz."
"minute","min."
"minutes","min."
