"Actions","Operacje"
"Active","Aktywny"
"Add New Rule","Dodaj nową regułę"
"Apply Rules","Zastosuj reguły"
"Attribute Set","Zestaw cech"
"Catalog","Katalog"
"Catalog Price Rule","Reguła cenowa katalogu"
"Catalog Price Rules","Reguły cenowe katalogu"
"Category","Kategoria"
"Comments History","Historia komentarzy"
"Conditions","Warunki"
"Conditions (leave blank for all products)","Warunki (pozostaw puste dla wszystkich produktów)"
"Conditions Combination","Kombinacja warunków"
"Credit Memos","Noty kredytowe"
"Customer Groups","Grupy klientów"
"Customer is new buyer: %s","Klient nie składał wcześniej zamówień: %s"
"Customer registered: %s","Klient zarejestrowany: %s"
"Date Expire","Data wygaśnięcia"
"Date From","Data od"
"Date Start","Data rozpoczęcia"
"Date To","Data do"
"Delete Rule","Usuń regułę"
"Description","Opis"
"Description: %s","Opis: %s"
"Edit Rule","Edytuj regułę"
"Edit Rule '%s'","Edycja reguły '%s'"
"Expire at: %s","Wygasa: %s"
"From Date","Od daty"
"General Information","Informacje ogólne"
"Gift Messages","Wiadomości prezentowe"
"ID","ID"
"Inactive","Nieaktywny"
"Invoices","Faktury"
"NOT LOGGED IN","NIE ZALOGOWANY"
"Name: %s","Nazwa: %s"
"New Rule","Nowa reguła"
"No","Nie"
"Options","Opcje"
"Order Credit Memos","Zamów notę kredytową"
"Order Gift Messages","Zamów wiadomość prezentową"
"Order History","Historia zamówień"
"Order Invoices","Faktury zamówień"
"Order Shipments","Dostawy zamówień"
"Priority","Priorytet"
"Product Attribute","Cecha produktu"
"Promotions","Promocje"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Rule was successfully deleted","Reguła została usunięta"
"Rule was successfully saved","Reguła została zapisana"
"Rules were successfully applied","Reguły zostały zastosowane"
"Save Rule","Zapisz regułę"
"Save and Apply","Zapisz i zastosuj"
"Shipments","Dostawy"
"Start at: %s","Rozpoczęcie: %s"
"Status","Status"
"Stop further rules processing","Zaniechaj przetwarzania kolejnych reguł"
"The page you are trying to save no longer exists","Strona którą chcesz zapisać już nie istnieje"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Są reguły, które zostały zmienione, ale nie zastosowane. Kliknij na Zastosuj reguły, aby zobaczyć natychmiastowy efekt w katalogu."
"This rule no longer exists","Reguła już nie istnieje"
"To Date","Do daty"
"Unable to apply rules","Nie udało się zastosować reguł"
"Unable to find a page to delete","Nie znaleziono strony do usunięcia"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Websites","Witryny"
"Yes","Tak"
