" and "," i"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolutna lub względna ścieżka do nadrzędnego katalogu Magento, np. var/export)"
"(For US 2-letter state names)","(Dla US 2-literowe nazwy stanów)"
"(If left empty will be auto-generated)","(Pozostawione puste sprawi, że zostanie wygenerowane automatycznie)"
"(Leave empty for first spreadsheet)","(Pozostaw puste dla pierwszego arkusza)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkty zostaną dodane/zaktualizowane w tym sklepie jeśli kolumna 'store' będzie pusta lub nie będzie istniała w pliku importu.)"
"(Shift-)Click or drag to change value","(Shift-)Kliknięcie lub przeciągnij aby zmienić wartość"
"(Starting with)","(Zaczynając od)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Gdy 'Nie' tylko mapowane pola zostaną zaimportowane. Podczas mapowania używaj 'kolumna1', 'kolumna2', itd.)"
"(You have to increase php memory_limit before changing this value)","(Musisz zwiększyć ilość przydzielonej pamięci memory_value przed zmianą tej wartości)"
"(\t for tab)","(t dla tabulatora)"
"- Click on any of the time parts to increase it","- Kliknij na jakąkolwiek część czasu aby ją zwiększyć"
"- Hold mouse button on any of the above buttons for faster selection.","- Przytrzymaj przycisk myszki na jednym z powyższych guzików dla szybszego zaznaczania."
"- Use the %s buttons to select month","- Użyj %s przycisków do wyboru miesiąca"
"- Use the %s, %s buttons to select year","- Użyj %s, %s przycisków aby wybrać rok"
"- or Shift-click to decrease it","- lub kliknij z Shiftem aby zmniejszyć"
"- or click and drag for faster selection.","- lub kliknij i przeciągnij dla szybszego zaznaczenia."
"API:","API:"
"About the calendar","O kalendarzu"
"Access Denied.","Dostęp zabroniony."
"Account Created in:","Konto utworzono w:"
"Account Created on (%s):","Konto utworzono (%s):"
"Account Created on:","Konto utworzono:"
"Action","Akcja"
"Actions","Akcje"
"Add","Dodaj"
"Add Contents Path","Dodaj ścieżkę zawartości'"
"Add Field with URL:","Dodaj pole z URL:"
