"%s is not supported currency.","%s nie jest akceptowaną walutą."
"Accept","Akceptuj"
"Basic","Podstawowy"
"Cannot retreive rate from strikeirion.","Nie można pobrać stawek od Strikeiron."
"Cannot retrieve rate from %s to %s","Nie można przekazać stawki z %s do %s"
"Check all email servers","Sprawdź wszystkie serwery e-mail"
"Complete","Zakończone"
"Country/Region/Postal code combination","Kraj/Województwo/Kod pocztowy kombinacja"
"Customer Tax Class","Klasa podatku klienta"
"Email Verification","Weryfikacja e-mail"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-mail nie może zostać zweryfikowany. Prosimy o upewnienie się, że został on wprowadzony poprawnie."
"Enable US address verification","Odblokuj weryfikację adresów US"
"Enable email verification","Odblokuj weryfikację e-mail"
"Enable foreign exchange rate","Odblokuj obcą stawkę wymiany"
"Enable global address verification","Odblokuj globalną weryfikację adresów"
"Enable sales and use tax","Odblokuj sprzedaż i używaj podatków"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"Error address action","Błąd akcji adresu"
"Foreign Exchange Rates","Obce stawki wymiany"
"Global Address Verification","Globalna weryfikacja adresów"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Jeśli typ jest kompletny i kod pocztowy należą do kilku stawek podatkowych, wybierz minimalną lub maksymalną stawkę podatku."
"Invalid email address","Niepoprawny adres e-mail"
"Maximum tax rate","Maksymalna stawka podatku"
"Minimum tax rate","Minimalna stawka podatku"
"Password","Hasło"
"Pop up warning and accept","Wyświetl ostrzeżenie i zaakceptuj"
"Product Tax Class","Klasa podatku produktu"
"Reject","Odrzuć"
"Sales and Use Tax","Sprzedaż i użycie podatków"
"Sales and Use Tax Type","Sprzedaż i typ użycia podatków"
"Strikeiron","Strikeiron"
"Strikeiron Config","Konfiguracja Strikeiron"
"Strikeiron Section","Sekcja Strikeiron"
"Strikeiron foreign exchange rate is disabled","Strikeiron jest zablokowany"
"Tax","Podatek"
"There is an error in retrieving tax rate. Please contact us","Wystąpił błąd podczas pobierania stawek. Prosimy o kontakt"
"There is an error in verifying an email. Please contact us.","Wystąpił błąd podczas weryfikacji e-mail. Prosimy o kontakt."
"There is no more hits remaining for the foreign Exchange Rate Service.","Nie ma więcej oczekujących pobrań."
"There is no response back from Strikeiron server","Brak odpowiedzi ze strony serwera Strikeiron"
"US Address Verification","Weryfikacja adresów US"
"Undetermined email action","Nieokreślona akcja e-mail"
"Use","Użyj"
"User ID","ID użytkownika"
"Verify address in admin","Weryfikuj adres w panelu administracyjnym"
"Verify email in admin","Weryfikuj e-mail w panelu administracyjnym"
