"API Login ID","ID logowania API"
"Authorize Only","Tylko autoryzacja"
"Authorize and Capture","Autoryzuj i przechwyć"
"Authorize.net","Authorize.net"
"Credit Card Types","Typy kart kredytowych"
"Credit Card Verification","Weryfikacja karty kredytowej"
"Debug","Debuguj"
"Email customer","Wyślij wiadomość do klienta"
"Enabled","Włączone"
"Error in authorizing the payment","Błąd podczas autoryzowania płatności"
"Error in capturing the payment","Błąd podczas przekazywania płatności"
"Error in payment gateway","Błąd bramki odpowiedzialnej za płatność"
"Error in refunding the payment","Błąd podczas refundowania płatności"
"Error in refunding the payment.","Błąd podczas refundowania płatności."
"Error in retrieving the transaction","Błąd podczas przekazywania transakcji"
"Fraud order status","Status zamówień – wyłudzeń"
"Gateway request error: %s","Błąd żądania bramki: %s"
"Invalid amount for authorization","Nieprawidłowa kwota do autoryzacji"
"Invalid amount for authorization.","Nieprawidłowa kwota do autoryzacji."
"Invalid transaction id","Błędny identyfikator transakcji"
"Maximum Order Total","Maksymalna suma zamówienia"
"Merchant Login","Login kupca"
"Merchant's email","Email kupca"
"Minimum Order Total","Minimalna suma zamówienia"
"New order status","Nowy status zamówienia"
"Partner","Partner"
"Password","Hasło"
"Payflow Pro","Payflow Pro"
"Payment Action","Akcja płatności"
"Payment authorization error.","Błąd autoryzacji płatności."
"Payment authorization transaction has been declined.","Autoryzacja płatności została odrzucona."
"Payment from Specific countries","Płatności od odkreślonych krajów"
"Payment from applicable countries","Płatności od dozwolonych krajów"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Kolejność sortowania"
"TENDER","Czułość"
"Test mode","Tryb testowy"
"Title","Tytuł"
"Transaction key","Klucz transakcji"
"URL","URL"
"Use Proxy","Użyj Proxy"
"User","Użytkownik"
"VERBOSITY","Rozciągłość"
"Voided transaction","Transakcja wyzerowana"
