"Abandoned carts","Porzucone koszyki"
"Action","Operacja"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj listy życzeń"
"Applied Coupon","Zastosowane kupony"
"Avg. approved rating","Średnia zatwierdzona ocena"
"Avg. rating","Średnia ocena"
"Bestsellers","Bestsellery"
"Bought from wishlists","Kupione z list życzeń"
"CSV","CSV"
"Carrier/Method","Dostawca/metoda"
"Carts","Koszyki"
"Coupons","Kupony"
"Created at","Utworzono"
"Customer","Klient"
"Customer Name","Nazwa klienta"
"Customer Tags","Tagi klientów"
"Customers","Klienci"
"Customers Report","Raporty klientów"
"Customers Reviews","Recenzje klientów"
"Customers Tags","Tagi klientów"
"Customers by number of orders","Klienci wg liczby zamówień"
"Customers by orders total","Klienci wg sumy zamówień"
"Customers that have wishlist: %s%","Klienci posiadający listę życzeń: %s%"
"Day","Dzień"
"Default Recently Compared Products count","Domyślny licznik ostatnio porównywanych produktów"
"Default Recently Viewed Products count","Domyślny licznik ostatnio oglądanych produktów"
"Detail","Szczegół"
"Discounts","Zniżki"
"Downloads","Pobrania"
"Email","E-mail"
"Excel","Excel"
"First Name","Imię"
"Guest","Gość"
"Hits","Kliknięcia"
"ID","ID"
"Invalid date specified","Wybrana data jest nieprawidłowa"
"Invoiced","Zafakturowano"
"Items Ordered","Produkty zamówione"
"Items in Cart","Produkty w koszyku"
"Last Name","Nazwisko"
"Last Review","Ostatnia recenzja"
"Link","Odnośnik"
"Low stock","Mało produktów"
"Month","Miesiąc"
"Most Viewed","Najczęściej oglądane"
"Most viewed","Najczęściej oglądane"
"Name","Nazwa"
"New Accounts","Nowe konta"
"Number Added","Ilość dodanych"
"Number Fulfilled","Ilość wystarczająca do realizacji zamówienia"
"Number Of Historical Uses","Ilość historycznych zastosowań"
"Number Of Reviews","Ilość recenzji"
"Number Of Uses","Ilość zastosowań"
"Number Purchased","Ilość zakupionych"
"Number Viewed","Ilość obejrzanych"
"Number of Items","Ilość produktów"
"Number of Ivoiced Orders","Ilość zafakturowanych zamówień"
"Number of New Accounts","Ilość nowych kont"
"Number of Orders","Liczba zamówień"
"Number of Refunded Orders","Ilość zrefundowanych zamówień"
"Number of Reviews","Ilość recenzji"
"Number of Total Tags","Łączna ilość tagów"
"Number of Unique Tags","Liczba unikalnych tagów"
"Number of Views","Ilość wyświetleń"
"Number of items bought from a wishlist: %s","Ilość produktów zakupionych z listy życzeń: %s"
"Number of times deleted","Ile razy skasowano"
"Number of times wishlists have been shared (emailed): %s","Ilość razy kiedy lista życzeń została wysłana do innych: %s"
"Number of wishlist conversions: %s","Liczba konwersji za pomocą listy życzeń: %s"
"Number of wishlist referrals: %s","Ilość osób poleconych za pośrednictwem listy życzeń: %s"
"Number of wishlists: %s","Ilość list życzeń: %s"
"Offline Refunded","Refundacje offline"
"Online Refunded","Refundacje online"
"Orders","Zamówienia"
"Out of stock","Brak w magazynie"
"Poducts Report","Raport produktów"
"Popular Tags","Popularne tagi"
"Popularity","Popularność"
"Price","Cena"
"Product Name","Nazwa produktu"
"Product Reviews","Recenzje produktu"
"Product Sku","SKU produktu"
"Product Tags","Tagi produktu"
"Products","Produkty"
"Products Report","Raport produktów"
"Products Reviews","Recenzje produktów"
"Products Sold","Sprzedane produkty"
"Products Tags","Tagi produktów"
"Products in carts","Produkty w koszyku"
"Purchases","Zamówienia"
"Quantity Ordered","Zamówione ilości"
"Quantity of Items","Ilość produktów"
"Rate","Stawka"
"Recently Compared Products","Ostatnio porównywane produkty"
"Recently Viewed Products","Ostatnio oglądane produkty"
"Recently Viewed/Compared Products","Ostatnio oglądane/porównywane produkty"
"Refunded","Refundowane"
"Reports","Raporty"
"Results","Rezultaty"
"Revenue","Dochód"
"Review","Opinia"
"Reviews","Recenzje"
"Reviews for %s","Recenzje dla %s"
"Sales","Sprzedaże"
"Sales Report","Raport sprzedaży"
"Search Terms","Szukane frazy"
"Shipping","Dostawa"
"Shopping Cart","Koszyk"
"Show for Current","Pokazuj dla bieżącego"
"Stock Qty","Ilość w magazynie"
"Submitted In","Wysłany w"
"Submitted On","Przesłane"
"Subtotal","Suma częściowa"
"Tag","Tag"
"Tag ""%s"" details","Szczegóły tagu %s"""
"Tag Detail","Szczegóły tagu"
"Tag Name","Nazwa tagu"
"Tag use","Użycie tagu"
"Tags submited by %s","Tagi zgłoszone przez %s"
"Tags submitted to %s","Tagi zgłoszone przez %s"
"Tax","Podatek"
"Tax Amount","Wartość podatku"
"Title","Tytuł"
"Total","Razem"
"Total Invoiced","Łącznie zafakturowane"
"Total Invoiced Captured","Łącznie zafakturowane przechwycone"
"Total Invoiced not Captured","Łącznie zafakturowane nieprzechwycone"
"Total Refunded","Łącznie refundowano"
"Total Shipping","Łączna dostawa"
"Total Tags","Tagów w sumie"
"Total invoiced","Łącznie zafakturowano"
"Total refunded","Łącznie refundowano"
"Updated at","Zaktualizowano"
"Visible In","Widoczny w"
"Wishlist Report","Raport listy życzeń"
"Wishlist vs. Regular Order","Lista życzeń względem zwykłego zamówienia"
"Wishlists","Listy życzeń"
"Year","Rok"
"Your Recently Compared","Twoje ostatnio porównywane"
"Your Recently Viewed","Twoje ostatnio oglądane"
