"%s already exist","%s już istnieje"
"%s already exists","%s już istnieje"
"-- Please Select --","-- Prosimy wybrać --"
"Add Block Names to Hints","Dodaj nazwy bloków do podpowiedzi"
"Add Secret Key to URLs","Dodaj sekretny klucz do URL"
"Add Store Code to Urls","Dodaj kod sklepu do URL"
"Admin","Administrator"
"Admin Base URL","Bazowy URL dla administratora"
"Admin User Emails","E-maile administracyjne"
"Advanced","Zaawansowane"
"Allow countries","Dopuść kraje"
"Allowed IPs (comma separated)","Dozwolone IP (oddzielone przecinkami)"
"Are you sure?","Czy na pewno tego chcesz?"
"Back","Powrót"
"Backup options","Opcje kopii zapasowej"
"Base JavaScript URL","Bazowy URL dla JavaScript"
"Base Link URL","Podstawowy URL dla linków"
"Base Media URL","Bazowy URL dla mediów"
"Base Skin URL","Bazowy URL skórki"
"Base URL","Bazowy URL"
"Before modifying the store view code please make sure that it is not used in index.php","Przed modyfikacją kodu widoku sklepu upewnij się, że nie jest on używany w index.php"
"Before modifying the website code please make sure that it is not used in index.php","Przed modyfikacją kodu strony sklepu upewnij się, że nie jest on używany w index.php"
"Block with name ""%s"" already exists","Blok o nazwie %s"" już istnieje"""
"Blocks HTML output","Blokuje wyjście HTML"
"Can't retrieve request object","Nie można pobrać żądanego obiektu"
"Can't retrieve entity config: %s","Nie można pobrać konfiguracji jednostki: %s"
"Cancel","Anuluj"
"Cannot Delete Email Template","Nie można usunąć szblonu e-mail"
"Cannot complete this operation from non-admin area.","Nie można ukończyć tej operacji z nieadministracyjnego obszaru."
"Category object is required for determining product request path","Obiekt kategorii jest wymagany do określenia wywołania produktu"
"Code","Kod"
"Collections Data","Dane kolekcji"
"Configuration","Konfiguracja"
"Controller file was loaded but class does not exist","Plik kontrolera został załadowany jednak klasa nie istnieje"
"Cookie Domain","Domena dla cookie"
"Cookie Lifetime","Czas życia cookie"
"Cookie Path","Ścieżka dla cookie"
"Copyright","Prawa autorskie"
"Countries options","Opcje krajów"
"Create Store","Utwórz sklep"
"Create Store View","Utwórz widok sklepu"
"Create Website","Utwórz witrynę"
"Current package name","Nazwa obecnego pakietu"
"Custom Design","Indywidualny wygląd"
"Custom admin URL","Indywidualny adres URL admina"
"Custom email 1","Niestandardowy e-mail 1"
"Custom email 2","Niestandardowy e-mail 2"
"Customer support","Wsparcie dla klienta"
"Date From","Data od"
"Date To","Data do"
"Date/time format ""%s"" is not supported.","Format daty/czasu %s"" nie jest obsługiwany."""
"Debug","Debuguj"
"Default","Domyślny"
"Default Description","Domyślny opis"
"Default Keywords","Domyślne słowa kluczowe"
"Default Pages","Domyślne strony"
"Default Robots","Domyślne roboty"
"Default Store","Domyślny sklep"
"Default Store View","Domyślny widok sklepu"
"Default Title","Domyślny tytuł"
"Default country","Domyślny kraj"
"Default no-route url","Domyślny URL dla braku adresu"
"Default web url","Domyślny URL sieciowy"
"Delete","Usuń"
"Delete Store","Usuń sklep"
"Delete Store View","Usuń widok sklepu"
"Delete Website","Usuń witrynę"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Usunięcie %1$s nie spowoduje usunięcia informacji przypisanych do %1$s (np. kategorii,produktów itp). Sugeruje się utworzenie kopii bazy danych przed skasowaniem %1$s."
"Design","Wygląd"
"Design Change","Zmiana wyglądu"
"Developer","Programista"
"Developer Client Restrictions","Ograniczenie dostępu programisty"
"Disable email communications","Zablokuj komunikacje poprzez e-mail"
"Disable modules output","Zablokuj wyjście modułów"
"Duplicate Of Template Code","Duplikat kodu szablonu"
"Edit Design Change","Edycja zmiany wyglądu"
"Edit Store","Edytuj sklep"
"Edit Store View","Edycja widoku sklepu"
"Edit Website","Edytuj witrynę"
"Empty identifier field name","Pusty identyfikator pola nazwa"
"Empty main table name","Pusta nazwa głównej tabeli"
"Enabled","Włączone"
"Enabled for Admin","Włączone dla Panelu Administracyjnego"
"Enabled for Frontend","Włączone dla Katalogu"
"Error in file: ""%s"" - %s","Błąd w pliku: %s"" - %s"""
"Error while saving. Please try again later.","Błąd podczas zapisywania. Prosimy spróbować ponownie później."
"Error: Passwords do not match","Błąd: podane hasła nie są jednakowe"
"Exceptions Log File Name","Nazwa pliku log dla wyjątków"
"First Day of Week","Pierwszy dzień tygodnia"
"Footer","Stopka"
"Forgot Password Email Sender","Nadawca wiadomości o zapomnianym haśle"
"Forgot Password Email Template","Szablon wiadomości o zapomnianym haśle"
"General","Ogólne"
"General Settings","Ustawienia ogólne"
"General contact","Kontakt ogólny"
"Global","Globalny"
"HTML Head","Nagłówek HTML"
"Header","Nagłówek"
"Host","Host"
"Id path for specified store","Identyfikator ścieżki dla okreśonego sklepu"
"Incorrect credit card expiration date","Nieprawidłowa data wygaśnięcia karty"
"Invalid base url type","Nieprawidłowy typ bazowego adresu"
"Invalid block name to set child %s: %s","Nieprawidłowa nazwa bloku dla ustawienia podrzędnego %s: %s"
"Invalid block type: %s","Nieprawidłowy typ bloku: %s"
"Invalid block: %s","Nieprawidłowy blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Nieprawidłowy argument aktualizacji wyglądu, oczekiwano Mage_Core_Layout_Element"
"Invalid layout update handle","Nieprawidłowa obsługa aktualizacji wyglądu"
"Invalid messages storage ""%s"" for layout messages initialization","Niesprawidłowe przechowywanie wiadomości %s"" dla inicjalizacji wiadomości układu"""
"Invalid transactional email code: ","Nieprawidłowy kod e-maila sprzedażowego: "
"Invalid websites configuration path: %s","Nieprawidłowa konfiguracja ścieżki strony: %s"
"Layout","Układ"
"Layouts","Szablony"
"Leave empty for access from any location","Pozostaw puste, aby umożliwić dostęp z każdej lokalizacji"
"Locale","Kod języka"
"Locale options","Opcje lokalizacji"
"Log Settings","Ustawienia logów"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logowanie z Mage::log(). Plik jest znajduje się w {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logowanie z Mage::logException(). Plik znajduje się w {{base_dir}}/var/log"
"Logo Image Alt","ALT dla obrazka logo"
"Logo Image Src","SRC dla obrazka logo"
"Manage Stores","Zarządzaj sklepami"
"Match expressions in the same order as displayed in the configuration.","Wskaż wyrażenia w porządku w jakim występują one w konfiguracji."
"Miscellaneous HTML","Różny HTML"
"Miscellaneous scripts","Różne skrypty"
"Model class does not exist: %s","Model klasy nie istnieje: %s"
