"ALL","WSZYSTKIE"
"ANY","DOWOLNY"
"Add","Dodaj"
"Apply","Zastosuj"
"Description: %s","Opis: %s"
"Expire at: %s","Wygasa: %s"
"FALSE","FAŁSZ"
"If %s of these conditions are %s:","Jeżeli %s z tych warunków jest %s:"
"Invalid discount amount.","Błędna wartość zniżki."
"MATCHING ALL","PASUJĄCA DO WSZYSTKIEGO"
"MATCHING ANY","PASUJĄCA DO KTÓREGOKOLWIEK"
"NOT MATCHING ALL","NIE PASUJĄCA DO ŻADNEGO"
"NOT MATCHING ANY","NIE PASUJĄCA DO KTÓREGOKOLWIEK"
"Name: %s","Nazwa: %s"
"Open Chooser","Otwórz selektor"
"Perform following actions","Wykonaj następujące czynności"
"Please choose a condition to add...","Wybierz warunek do dodania..."
"Please choose an action to add...","Wybierz operację do dodania..."
"Remove","Usuń"
"Start at: %s","Rozpoczęcie: %s"
"TRUE","PRAWDA"
"by","od"
"contains","zawiera"
"does not contain","nie zawiera"
"equals or greater than","równy lub większy niż"
"equals or less than","równy lub mniejszy niż"
"greater than","większy niż"
"is","jest"
"is not","nie jest"
"is not one of","nie jest jednym z "
"is one of","jest jednym z"
"less than","mniej niż"
"to","do"
