"--Select--","--Wybierz--"
"Add New Option","Dodaj nową opcję"
"Add Selection","Dodaj wybór"
"As low as","Już od"
"Bundle Items","Powiązane produkty"
"Bundle Product","Powiązany produkt"
"Buy %1$s with %2$s discount each","Kup %1$s z %2$s zniżką na każdym"
"Checkbox","Pole do zaznaczenia"
"Choose a selection...","Wybierz selekcje..."
"Close","Zamknij"
"Default","Domyślny"
"Default Qty","Domyślna ilość"
"Default Title","Domyślny tytuł"
"Drop-down","Rozwijane"
"Dynamic","Dynamiczny"
"Excl. Tax","Bez podatku"
"Fixed","Stały"
"From","Od"
"From:","Z:"
"Gift Message","Wiadomość prezentowa"
"Incl. Tax","Z podatkiem"
"Input Type","Typ pola"
"Is Required","Jest wymagane"
"Message:","Wiadomość:"
"Multiple Select","Wiielokrotny wybór"
"N/A","N/D"
"No options of this product are available.","Brak opcji dla tego produktu."
"None","Brak"
"Percent","Procent"
"Percent Discount","Zniżka procentowa"
"Please enter search conditions to view products.","Wpisz kryteria wyszukiwania, aby zobaczyć produkty."
"Please select options for product.","Wybierz opcje dla produktu."
"Please select products to add","Proszę wybrać produkty do dodania"
"Please specify product option(s)","Proszę określić opcję produktu"
"Position","Pozycja"
"Price Range","Zakres ceny"
"Price Type","Typ ceny"
"Price as configured","Cena z konfiguracji"
"Qty:","Ilość:"
"Radio Buttons","Pola wyboru"
"Required options not selected.","Wymagane opcje nie zostały wybrane."
"Selected required options not available.","Wybrane wymagane opcje nie są dostępne."
"Separately","Oddzielnie"
"Ship Bundle Items","Dostawa powiązanych produktów"
"Shipment","Dostawa"
"Store View Title","Tytuł widoku sklepu"
"There is no defined renderer for ""%s"" option type","Nie ma wybranego generatora dla typu opcji ""%s"""
"This product is also part of bundle(s)","Produkt jest również częścią zestawu"
"To","Do"
"To:","Do:"
"Together","Razem"
"User Defined Qty","Ilość definiowana przez użytkownika"
