"# of Use","ilość użyć"
"%1$s incl tax.","%1$s z podatkiem"
"%s - %s","%s - %s"
"%s Item(s)","%s produkt(ów)"
"(Copy data from: %s)","(Kopiuj dane z: %s)"
"(Will make search for the query above return results for this search.)","(Pozwoli zwrócić wyniki wyszukiwania dla tej frazy.)"
"* Required Fields","* wymagane pola"
"-- Please Select --","-- Prosimy wybrać --"
"A name is required","Nazwa jest wymagana"
"ALL GROUPS","WSZYSTKIE GRUPY"
"AM","przed południem"
"Action","Operacja"
"Add Attribute","Dodaj cechę"
"Add Design Change","Dodaj zmianę wyglądu"
"Add Group","Dodaj grupę"
"Add Items to Cart","Dodaj produkty do koszyka"
"Add New","Dodaj nowe"
"Add New Attribute","Dodaj nową cechę"
"Add New Attribute Set","Dodaj nowy zestaw cech"
"Add New Group","Dodaj nową grupę"
"Add New Images","Dodaj nowe obrazki"
"Add New Option","Dodaj nową opcję"
"Add New Row","Dodaj nowy rząd"
"Add New Search Term","Dodaj nową frazę wyszukiwania"
"Add New Set","Dodaj nowy zestaw"
"Add Option","Dodaj opcję"
"Add Product","Dodaj produkt"
"Add Product To Websites","Dodaj produkty do witryn"
"Add Root Category","Dodaj kategorię bazową"
"Add Subcategory","Dodaj podkategorię"
"Add Tax","Dodaj podatek"
"Add Tier","Dodaj poziom"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to My Wishlist","Dodaj do mojej listy życzeń"
"Add to Wishlist","Dodaj listy życzeń"
"Additional Information","Informacje dodatkowe"
"All","Wszystko"
"All Product Types","Wszystkie typy produktów"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Wszystkie produkty z tego zestawu zostaną usunięte! Czy na pewno chcesz usunąć zestaw cech?"
"Allow HTML-tags on Front-end","Zezwól na tagi HTML po stronie klienta"
"Allowed File Extensions","Dozwolone rozszerzenia plików"
"Allowed file extensions to upload","Dozwolone rozszerzenia plików do załadowania"
"Amount","Suma"
"Apply To","Zastosuj do"
"Apply To Configurable/Grouped Product","Zastosuj dla konfigurowalnych/grupowanych produktów"
"Approved","Zaakceptowany"
"Are you sure you want to delete this category?","Czy na pewno usunąć tę kategorię?"
"Are you sure you would like to remove all products from your comparison?","Czy na pewno chcesz usunąć wszystkie przedmioty z porównania?"
"Are you sure you would like to remove this item from the compare products?","Czy na pewno chcesz usunąć ten produkt z porównania?"
"Are you sure?","Czy na pewno tego chcesz?"
"As low as:","Już od:"
"Assign","Przyporządkuj"
"Assign product link","Przyporządkuj link produktu"
"Assign product to category","Przyporządkuj produkt do kategorii"
"Assigned Products","Przypisane produkty"
"Associated Products","Powiązane produkty"
"Attrib. Set Name","Nazwa zestawu cech"
"Attribute Code","Kod cechy"
"Attribute Information","Informacje cechy"
"Attribute Label","Etykieta cechy"
"Attribute Model","Model cechy"
"Attribute Name:","Nazwa cechy:"
"Attribute Properties","Właściwości cech"
"Attribute Set","Zestaw cech"
"Attribute group with the ""/name/"" name already exists","Zestaw cech o nazwie ""/name/"" już istnieje"
"Attribute model not defined","Model cechy nie został zdefiniowany"
"Attribute with the same code already exists","Cecha o podanym kodzie już istnieje"
"Attributes","Cechy"
"Attrribute names can be specified per store.","Nazwy cech mogą być sprecyzowane osobno dla każdego sklepu."
"Autogenerate","Generuj automatycznie"
"Availability","Dostępność"
"Availability: In stock.","Wysyłka w ciągu 24h"
"Availability: Out of stock.","Chwilowo brak."
"Back","Powrót"
"Backend Model","Model administracyjny"
"Backend Table","Tabela administracyjna"
"Backend Table Title","Tytuł tabeli administracyjnej"
"Backorders","Rezerwacje"
"Base directory to upload image file is not specified","Podstawowy katalog do wgrywania plików nie został sprecyzowany"
"Based On","Bazujący na"
"Best Value","Najlepsza wartość"
"Block after Info Column","Blok za kolumną informacyjną"
"Bottom/Left","Dół/lewo"
"Bottom/Right","Dół/prawo"
"Browse By","Przeglądaj wg"
"Buy %1$s for %2$s","Kup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kup %1$s za %2$s (%3$s z podatkiem) za każdy"
"Buy %1$s for %2$s each","Kup %1$s za %2$s za każdy"
"Can be used only with catalog input type Dropdown","Można używać tylko z rozwijaną listą w katalogu"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Może być użyte tylko z polem typu rozwijana lista, wielokrotny wybór i cena"
"Can't create image.","Nie można utworzyć obrazu."
"Cannot create writeable directory '%s'","Nie można utworzyć zapisywalnego folderu '%s'"
"Cart Item Attribute","Cecha produktu w koszyku"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Typ pola dla właściciela sklepu"
"Catalog Price Scope","Zakres cen w katalogu"
"Catalog Section","Sekcja katalogu"
"Catalog, Search","Katalog, wyszukiwanie"
"Categories","Kategorie"
"Categories Sitemap","Mapa witryny kategorii"
"Category","Kategoria"
"Category API","API kategorii"
