"Add Recipient","Dodaj odbiorcę"
"Allow for Guests","Wysyłanie maili przez Gości"
"Email Address","Adres e-mail"
"Email Address:","Adres e-mail:"
"Email templates","Szablony e-mail"
"Email to a Friend","Wyślij znajomemu"
"Email:","E-mail:"
"Enabled","Włączone"
"Limit Sending By","Ogranicz wysyłanie o"
"Link to a friend was sent.","Link został wysłany do znajomego."
"Max Products Sent in 1 Hour","Wysłana maksymalna ilość produktów w 1 godzinie"
"Max Recipients","Maksymalna ilość odbiorców"
"Maximum %d email addresses allowed.","Dopuszczalne maksymalnie %d adresów e-mail."
"Message:","Wiadomość:"
"Name","Nazwa"
"Name:","Imię:"
"Recipient:","Odbiorca:"
"Remove Email","Usuń e-mail"
"Select email template","Wybierz szablon e-mail"
"Send email","Wyślij e-mail"
"Send product to a friend","Wyślij produkt do znajomego"
"Sender:","Nadawca:"
"Some emails was not sent","Niektóre e-maile nie zostały wysłane"
"Some problems with data.","Problemy z danymi."
"You cannot email this product to a friend","Nie możesz przesłać tego produktu znajomemu"
"You cannot send more than %d times in an hour","Nie możesz wysłac więcej niż %d razy w ciągu godziny"
