"(eg: domain.com/identifier)","(np: domena.pl/identyfikator)"
"Action","Operacja"
"Add New Block","Dodaj nowy blok"
"Add New Page","Dodaj nową stronę"
"All countries","Wszystkie kraje"
"Block Information","Informacje o bloku"
"Block Title","Tytuł bloku"
"Block was successfully deleted","Blok został usunięty"
"Block was successfully saved","Blok został zapisany"
"CMS","CMS"
"CMS Home Page","Strona główna CMS"
"CMS No Route Page","Strona CMS Brak przekierowania"
"Content","Zawartość"
"Custom Design","Indywidualny wygląd"
"Custom Theme","Indywidualny motyw graficzny"
"Custom Theme From","Indywidualny motyw graficzny od"
"Custom Theme To","Indywidualny motyw graficzny do"
"Customer Tax Class Information","Informacje o klasie podatku klienta"
"Date Created","Data utworzenia"
"Delete Block","Usuń blok"
"Delete Page","Usuń stronę"
"Description","Opis"
"Disabled","Wyłączone"
"Edit Block","Edytuj blok"
"Edit Block '%s'","Edycja bloku '%s'"
"Edit Page","Edytuj stronę"
"Edit Page '%s'","Edycja strony '%s'"
"Enabled","Włączone"
"General Information","Informacje ogólne"
"Go to Home Page","Przejdź na stronę główną"
"Home","Strona główna"
"Identifier","Identyfikator"
"Keywords","Słowa kluczowe"
"Last Modified","Data modyfikacji"
"Layout","Układ"
"Layout Update XML","XML aktualizacji układu"
"Manage Pages","Zarządzanie stronami"
"Meta Data","Dane META"
"Meta Description","Opis strony META"
"Meta Keywords","Słowa kluczowe"
"New Block","Nowy blok"
"New Page","Nowa strona"
"Page Identifier cannot consist only of numbers.","Identyfikator strony może składać się wyłącznie z cyfr."
"Page Identifier for specified store already exist.","Identyfikator strony dla wybranego sklepu już istnieje."
"Page Information","Informacje o stronie"
"Page Status","Status strony"
"Page Title","Tytuł strony"
"Page was successfully deleted","Strona została usunięta"
"Page was successfully saved","Strona została zapisana"
"Poll Manager","Zarządzanie ankietami"
"Product Tax Class Information","Informacje o klasie podatku dla produktów"
"SEF URL Identifier","Identyfikator adresu SEO"
"Save Block","Zapisz blok"
"Save Page","Zapisz stronę"
"Show breadcrumbs for CMS pages","Pokaż ścieżki powrotu dla stron CMS"
"Static Blocks","Bloki statyczne"
"Status","Status"
"Store View","Widok sklepu"
"Such a block identifier in selected store already exist.","Taki identyfikator bloku w wybranym sklepie już istnieje."
"The page you are trying to save no longer exists","Strona, którą chcesz zapisać już nie istnieje"
"This block no longer exists","Ten blok już nie istnieje"
"This page no longer exists","Ta strona już nie istnieje"
"Title","Tytuł"
"Unable to find a block to delete","Nie znaleziono bloku do usunięcia"
"Unable to find a page to delete","Nie znaleziono strony do usunięcia"
