"Add New Row","Dodaj nowy rząd"
"An error occurred while saving the file(s).","Wystąpił błąd podczas zapisywania plików."
"Availability: In stock.","Dostępność: w magazynie."
"Availability: Out of stock.","Dostępność: brak."
"Back","Powrót"
"Can't connect to remote host, error: %s","Brak połączenia ze zdalnym hostem, błąd: %s"
"Canceled","Anulowane"
"Date","Data"
"Default Link Title","Domyślny tytuł dla linków"
"Default Maximum Number of Downloads","Domyślna maksymalna ilość ściągnięć"
"Default Sample Title","Domyślny tytuł dla próbek"
"Disable Guest Checkout if cart contains downloadable items","Wyłącz zakupy dla niezalogowanych jeśli koszyk zawiera produkty do pobrania"
"Downloadable Information","Informacje o produktach do pobrania"
"Downloadable Product","Produkty do ściągnięcia"
"Downloadable Product Options","Opcje produktów do ściągnięcia"
"Downloadable product Section","Sekcja Produktów Do Ściągnięcia"
"Excl. Tax","Bez podatku"
"File","Plik"
"File does not exists","Plik nie istnieje"
"From:","Z:"
"Gift Message","Wiadomość prezentowa"
"Go to <a href=""%s"">My Downloadable Products</a>","Przejdź do <a href=%s"">produktów do pobrania</a>"""
"Guest checkout will only work with shareable","Zakupy dla niezalogowanych będą działały tylko ze współdzielonymi"
"Incl. Tax","Z podatkiem"
"Invalid download URL host","Nieprawidłowy host URL pobierania"
"Invalid download URL scheme","Nieprawidłowy schemat URL pobierania"
"Invalid download link type","Nieprawidłowy typ odnośnika pobierania"
"Invoiced","Zafakturowano"
"Link has expired.","Link utracił ważność."
"Link is not available.","Link jest niedostępny."
"Links can be purchased separately","Linki mogą zostać kupione osobno"
"Max. Downloads","Maksymalna ilość ściągnięć"
"Message:","Wiadomość:"
"My Downloadable Products","Moje produkty do pobrania"
"Open Links in New Window","Otwórz linki w nowym oknie"
"Order #","Zamówienie nr "
"Order Item Status to enable Downloads","Status elementu zamówienia umożliwiający pobranie"
"Ordered","Zamówiony"
"Pending","Oczekuje"
"Please log in to download your product.","Proszę się zalogować, aby ściągnąć produkt."
"Please set resource file and link type","Prosimy wybrać plik źródłowy i typ odnośnika"
"Please specify product link(s).","Określ link(i) produktu"
"Price","Cena"
"Refunded","Zwrócono"
"Remaining Downloads","Pozostałe ściągnięcia"
"Remove item","Usuń element"
"Requested link doesn't exist.","Wybrany link nie istnieje."
"Sample","próbka"
"Shareable","Współdzielony"
"Shipped","Wysłane"
"Sorry, the was an error getting requested content. Please contact store owner.","Niestety, wystąpił błąd podczas pobierania. Prosimy o kontakt z właścicielem sklepu."
"Sorry, there was an error getting requested content","Niestety, wystąpił błąd podczas pobierania."
"Sorry, there was an error getting requested content. Please contact store owner.","Niestety, wystąpił błąd podczas pobierania. Prosimy o kontakt z właścicielem sklepu."
"Sort Order","Kolejność sortowania"
"Start Download","Rozpocznij pobieranie"
"Status","Status"
"Title","Tytuł"
"To:","Do:"
"U","U"
"Unlimited","Nielimitowany"
"View Order","Zobacz zamówienie"
"You have not purchased any downloadable products yet.","Nie kupowałeś jeszcze żadnych produktów do pobrania."
"attachment","załącznik"
"download","ściągnij"
"inline","liniowy"
"sample","próbka"
"My Downloadable Products","Moje produkty do pobrania"
"You have not purchased any downloadable products yet.","Nie kupowałeś jeszcze żadnych produktów do pobrania."
