"Billing Information","Informacje o płatności"
"Change Payment Method","Zmień formę płatności"
"Change Shipping Address","Zmień adres dla dostawy"
"Edit Shopping Cart","Edytuj produkty w koszyku"
"Email","Adres email"
"Incl. Tax","z podatkiem"
"Items in Your Shopping Cart","Produkty znajdujące się w koszyku"
"No shipping method required.","Nie jest wymagana metoda dostawy."
"PayPal Account","Konto PayPal"
"PayPal Email","PayPal e-mail"
"Payment Method","Forma płatności"
"Place an Order","Złóż zamówienie"
"Please select a shipping method...","Wybierz formę dostawy..."
"Price","Cena"
"Product Name","Nazwa produktu"
"Qty","Ilość"
"Review Order","Podgląd zamówienia"
"Shipping Address","Adres dla dostawy"
"Shipping Information","Informacje o dostawie"
"Shipping Method","Metoda dostawy"
"Sorry, no quotes are available for this order at this time.","Przepraszamy, nie udało się określić danych dla zamówienia."
"Submitting order information...","Przetwarzanie zamówienia..."
"Subtotal","Podsuma"
"Update Shipping Method","Uaktualnij formę wysyłki"
"You will be redirected to PayPal website when you place an order.","Zostaniesz przekierowany na stronę PayPal po złożeniu zamówienia."
"You will be redirected to Paypal in a few seconds.","Zostaniesz przekierowany do PayPal w ciągu paru sekund."
"Your billing address will be ignored and you will be redirected to PayPal website","Twój adres płatnika zostanie pominięty i zostaniesz przekierowany na stronę Paypal"
