"--Please Select--","-- Prosimy wybrać --"
"<label>Make Check payable to:</label> %s","<label>Czek płatny dla:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Czek wypłacany dla</label>: %s"
"Automatically invoice all items","Automatycznie rozliczaj wszystkie produkty"
"Can not configuration for payment method with code: %s","Nie można skonfigurować płatności z kodem: %s"
"Can not retrieve payment info model object.","Nie można pobrać informacji modelu obiektu płatności."
"Can not retrieve payment method instance","Nie można pobrać metody płatności"
"Can not retrieve payment method model object.","Nie można pobrać modelu obiektu płatności."
"Card Verification Number","Numer weryfikacyjny karty"
"Check / Money order","Czek / przelew"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Number: %s","Numer karty kredytowej: %s"
"Credit Card Number: xxxx-%s","Numer karty kredytowej: xxxx-%s"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Type: %s","Typ karty kredytowej: %s"
"Credit Card Types","Typy kart kredytowych"
"Credit Card Verification","Weryfikacja karty kredytowej"
"Enabled","Włączone"
"Expiration Date","Data ważności"
"Expiration Date: %s/%s","Data ważności: %s/%s"
"Make Check payable to","Czek wypłacany dla"
"Make Check payable to: %s","Numer konta: %s"
"Maximum Order Total","Maksymalna suma zamówienia"
"Minimum Order Total","Minimalna suma zamówienia"
"Month","Miesiąc"
"Name on Card","Nazwisko na karcie"
"Name on the Card: %s","Nazwisko na karcie: %s"
"New order status","Nowy stan zamówienia"
"Payment Methods","Metody płatności"
"Payment Methods Section","Sekcja Metod Płatności"
"Payment from Specific countries","Płatność z wybranych krajów"
"Payment from applicable countries","Płatność z odpowiednich krajów"
"Purchase Order Number","Numer wykupienia zamówienia:"
"Purchase Order Number: %s","Wykup zamówienie: %s"
"Purchase order","Wykup zamówienie"
"Saved CC","Zapisane karty"
"Send Check to","Adres do przelewu"
"Send Check to:","Adres do przelewu:"
"Sort order","Kolejność sortowania"
"Title","Tytuł"
"What is this?","Co to jest?"
"Year","Rok"
"Zero Subtotal Checkout","Zamówienie z zerową podsumą"
