"* Required Fields","* wymagane pola"
"A new password was sent","Nowe hasło zostało wysłane"
"Account Dashboard","Panel konta"
"Account Information","Dane konta"
"Account Sharing Options","Opcje udostępniania konta"
"Account information was successfully saved","Zmiany w danych konta zostały zachowane."
"Action","Operacja"
"Add New Address","Dodaj nowy adres"
"Add New Customer","Dodaj nowego klienta"
"Add New Customer Group","Dodaj nową grupę klientów"
"Added From","Dodano z"
"Additional Address Entries","Dodatkowe adresy"
"Address","Adres"
"Address Book","Książka adresowa"
"Address Information","Informacje o adresie"
"Addresses","Adresy"
"Admin","Administrator"
"All","Wszystko"
"All Store Views","Wszystkie widoki sklepu"
"All countries","Wszystkie kraje"
"Always optional","Zawsze opcjonalne"
"Amount","Kwota"
"Approved","Zaakceptowany"
"Are you sure that you want to remove this item?","Czy na pewno chcesz usunąć produkt?"
"Are you sure you want to cancel adding of this address?","Czy na pewno chcesz anulować dodawanie tego adresu?"
"Are you sure you want to delete this address?","Czy na pewno chcesz usunąć ten adres?"
"Are you sure?","Czy na pewno tego chcesz?"
"Array of Entity collections is expected","TRANSLATE_THIS"
"Assign a customer group","Przypisz grupę klientów"
"Average Sale","Średnia sprzedaż"
"Back","Powrót"
"Back to Login","Powrót do logowania"
"Bad request.","Złe zapytanie."
"Bill to Name","Rachunek na dane"
"Billing Information","Informacje o płatności"
"Bought From","Kupione od"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Zakładając konto w naszym sklepie będzie można przejść przez proces zamówienia dużo szybciej, przechowywać wiele adresów dostawy, śledzić statusy zamówień i korzystać z dodatkowych funkcji."
"CSV","CSV"
"Can't save address","Nie można zapisać adresu"
"Can't save customer","Nie można zapisać klienta"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Nie można globalnie współdzielić kont klienta. Dzieje się tak ponieważ niektóre konta klientów z takim samym adresem e-mail istnieją na różnych witrynach i nie mogą zostać połączone."
"Cancel","Anuluj"
"Change Account Password","Zmień hasło do konta"
"Change Billing Address","Zmień adres rozliczeniowy"
"Change Password","Zmień hasło"
"Change Shipping Address","Zmień adres dla dostawy"
"City","Miasto"
"Company","Firma"
"Config","Konfiguracja"
"Confirm New Password","Potwierdź nowe hasło"
"Confirm Password","Potwierdź hasło"
"Confirmation Link Email","E-mail z linkiem potwierdzającym"
"Confirmed","Potwierdzony"
"Contact Information","Informacje kontaktowe"
"Continue Shopping","Kontynuuj zakupy"
"Country","Kraj"
"Create","Utwórz"
"Create New Account Options","Opcje tworzenia nowego konta"
"Create New Customer Account","Utwórz nowe konto klienta"
"Create Order","Utwórz zamówienie"
"Create an Account","Utwórz konto"
"Create customer","Utwórz klienta"
"Create customer address","Utwórz adres klienta"
"Current Password","Bieżące hasło"
"Customer","Klient"
"Customer Addresses","Adresy klienta"
"Customer Api","Api klienta"
"Customer Configuration","Konfiguracja klienta"
"Customer Group","Grupa Klientów"
"Customer Group was successfully deleted","Grupa klientów została usunięta"
"Customer Group was successfully saved","Grupa klientów została zapisana"
"Customer Groups","Grupy klientów"
"Customer Information","Informacje o kliencie"
"Customer Login","Login klienta"
"Customer Since","Klient od"
"Customer View","Widok klienta"
"Customer collection expected","Spodziewany odbiór osobisty"
