"Account login","Login konta"
"Account password","Hasło konta"
"Active","Aktywny"
"Add Attribute Mapping","Dodaj mapowanie atrybutów"
"Add New Attribute","Dodaj nową cechę"
"Add to Google Base","Dodaj do Google Base"
"Are you sure?","Czy na pewno tego chcesz?"
"Attribute","Cecha"
"Attribute Set","Zestaw cech"
"Attribute Set and Item Type","Zestaw cech i typ produktu"
"Attributes","Cechy"
"Attributes Set","Zestawy cech"
"Attributes mapping","Mapowanie atrybutów"
"AuthSub","Mechanizm autoryzacji AuthSub"
"Available Products","Dostępne produkty"
"British Pound Sterling","Funt Brytyjski"
"Cannot update Google Base Item for Store '%s'","Nie można zaktualizować Google Base dla sklepu '%s'"
"Captcha confirmation error: %s","Błąd potwierdzenia captcha: %s"
"Captcha confirmed successfully","Captcha wprowadzono poprawnie"
"Clicks","Kliknięcia"
"ClientLogin","Login Klienta"
"Confirm","Potwierdź"
"Current Mapping will be reloaded. Continue?","Obecne mapowanie zostanie przeładowane. Kontynuować?"
"Custom attribute, no mapping","Niestandardowe cechy, bez mapowania"
"Default Store (%s)","Domyślny sklep (%s)"
"Delete","Usuń"
"Delete Mapping","Usuń mapowanie"
"Edit Item Type","Edytuj typ produktu"
"Edit Item Type ""%s""","Edytuj typ elementu %s"""
"Error: %s","Błąd: %s"
"Euro","Euro"
"Expires","Wygasa"
"Germany","Niemcy"
"Google Base","Google Base"
"Google Base Attribute","Cecha Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Typ produktu Google Base"
"Google Base Item type","Typ produktu Google Base"
"Google Base Items","Produkty Google Base"
"Hide","Ukryj"
"Impr.","Wyśw."
"Invalid Product Model for Google Base Item","Nieprawidłowy model produktu dla produktu Google Base"
"Item Type was deleted","Typ produktu został usunięty"
"Item Types","Typy produktu"
"Item model is not specified to delete Google Base entry","Model elementu nie nie jest wybrany do skasowania wpisu Google Base"
"Item type was successfully saved","Typ elementu został zapisany"
"Items","Elementy"
"Manage Attribute Mapping","Zarządzaj mapowaniem cech"
"Manage Attributes","Zarządzaj cechami"
"Manage Items","Zarządzaj produktami"
"New Item Type","Nowy typ elementu"
"No","Nie"
"No items were deleted from Google Base","Nie usunięto żadnych produktów z Google Base"
"No items were published","Nie opublikowano żadnych produktów"
"No items were saved as Inactive items","Żaden element nie został zapisany jako nieaktywny"
"No products were added to Google Base","Nie dodano żadnych produktów do Google Base"
"Object model is not specified to save Google Base entry","Model obiektu nie nie jest wybrany do zapisania wpisu Google Base"
"Page views","Wyświetleń"
"Please, select Attribute Set and Google Item Type to load attributes","Wybierz zestaw cech i typ produktu Google aby załadować cechy"
"Product Name","Nazwa produktu"
"Publish","Publikuj"
"Published","Opublikowany"
"Remove","Usuń"
"Save Mapping","Zapisz mapowanie"
"Synchronize","Synchronizuj"
"Target Country","Docelowy kraj"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Ta akcja spowoduje uaktualnienie statystyk dla produktów i usunie produkty, które nie są dostępne w Google Base. Kontynuować?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Łącznie skasowane elementy %d, łącznie zaktualizowane elementy: %d"
"Total of %d items(s) were successfully published","Opublikowane elementy: %s"
"Total of %d items(s) were successfully removed from Google Base","Elementy usunięte z Google Base: %d"
"Total of %d items(s) were successfully saved as Inactive items","Elementy zapisane jako nieaktywne: %d"
"Total of %d product(s) were successfully added to Google Base","Produkty dodane do Google Base: %d"
"US Dollar","Dolar Amerykański"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Nie można połączyć się z Google Base. Prosimy sprawdzić ustawienia konta w konfiguracji."
"United Kingdom","Wielka Brytania"
"United States","Stany Zjednoczone"
"Update Google Base item when product is updated","Zaktualizuj element Google Base podczas aktualizacji produktu"
"View Available Products","Zobacz dostępne produkty"
"View Item in Google Base","Zobacz przedmiot w Google Base"
"Yes","Tak"
