"# of Uses","Ilość użyć"
"%s tag(s) have been accepted for moderation","%s tag(i) zostały zaakceptowane do moderacji"
"Action","Operacja"
"Actions","Operacje"
"Add New Tag","Dodaj nowy tag"
"Add Tags","Dodaj tagi"
"Add Your Tags:","Dodaj swoje tagi:"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj listy życzeń"
"All Tags","Wszystkie tagi"
"Approved","Zaakceptowany"
"Are you sure that you want to delete this tag?","Czy na pewno chcesz usunąć ten tag?"
"Are you sure you want to delete this tag?","Czy na pewno chcesz usunąć ten tag?"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Are you sure?","Czy na pewno tego chcesz?"
"Back","Powrót"
"Back to Tags List","Powrót do listy tagów"
"Back to view Tag","Powrót do widoku tagu"
"Block Information","Informacje o bloku"
"CSV","CSV"
"Change status","Zmień status"
"Click on a tag to view your corresponding products.","Kliknij na tag aby zobaczyć produkty nim oznaczone."
"Country","Kraj"
"Customer Since","Klient od"
"Customers","Klienci"
"Customers Tagged '%s'","Oznaczone przez klientów '%s'"
"Delete","Usuń"
"Delete Tag","Usuń tag"
"Disabled","Wyłączone"
"Edit Tag","Edytuj tag"
"Edit Tag '%s'","Edytuj tag '%s'"
"Email","E-mail"
"First Name","Imię"
"General Information","Informacje ogólne"
"Grid","Siatka"
"ID","ID"
"Last Name","Nazwisko"
"List","Lista"
"My Recent Tags","Moje ostatnie tagi"
"My Tags","Moje tagi"
"Name","Nazwa"
"New Tag","Nowy tag"
"No matches found.","Brak wyników."
"Other people marked this product with these tags:","Inni klienci oznaczyli ten produkt następującymi tagami:"
"Pending","Oczekuje"
"Pending Tags","Oczekujące tagi"
"Popular","Popularne"
"Popular Tags","Popularne tagi"
"Popularity","Popularność"
"Price","Cena"
"Product Name","Nazwa produktu"
"Product SKU","SKU produktu"
"Product Tags","Tagi produktu"
"Products","Produkty"
"Products Tagged with '%s'","Produkty oznaczone tagiem '%s'"
"Products tagged with '%s'","Produkty oznaczone tagiem '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkty oznaczone tagiem '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Zapisz tag"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Wyniki wyszukiwania dla '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Szukane frazy"
"Status","Status"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" został już dodany do produktu"
"Tag Information","Informacje o tagu"
"Tag Name","Nazwa tagu"
"Tag Name: %s","Nazwa tagu: %s"
"Tag can't be empty.","Pole tag nie może być puste."
"Tagged in","Otagowany"
"Tags","Tagi"
"Tags Aren't Available","Tagi nie są dostępne"
"Tags:","Tagi:"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Dziękujemy. Twój tag został przesłany do moderatora."
"Unable to find any products tagged with '%s' in the current store","Nie udało się znaleźć żadnych produktów oznaczonych '%s' w tym sklepie"
"Unable to remove tag. Please, try again later.","Nie udało się usunąć tagu. Spróbuj ponownie."
"Unable to save tag(s)","Nie udało się zapisać tagów"
"Unable to save your tag. Please, try again later.","Nie można zapisać tagu. Spróbuj ponownie."
"Use spaces to separate tags. Use single quotes (') for phrases.","Użyj spacji aby rozdzielić tagi, apostrofów (') aby wpisać frazy."
"Uses","Zastosowania"
"View All","Zobacz wszystkie"
"View All Tags","Zobacz wszystkie tagi"
"View Customers","Zobacz klientów"
"View Products","Zobacz produkty"
"Visible In","Widoczny w"
"XML","XML"
"You have not tagged any products yet.","Nie masz oznaczonych żadnych produktów"
"Your tag was successfully deleted","Twój tag został usunięty"
"Your tag was successfully saved","Twój tag został zapisany"
"ZIP/Post Code","Kod pocztowy"
"You have not tagged any products yet.","Nie masz oznaczonych żadnych produktów"
