"%s is not correct comparsion method.","%s nie jest poprawną metodą porównania."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Uwaga</strong>, te opcje mają zastosowanie do produktów linii koszyka, a nie do całego koszyka."
"Allow Qty Below 0","Zezwól na ilość mniejszą od 0"
"Allow Qty Below 0 and Notify Customer","Zezwól na ilość mniejszą od 0 i powiadom klienta"
"Backorders","Rezerwacje"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"Can not specify product identifier for order item","Nie można określić identyfikatora zamawianego produktu"
"Catalog Inventory","Stany magazynowe"
"Decrease Stock When Order is Placed","Zmniejsz stan magazynowy po złożeniu zamówienia"
"In Stock","W magazynie"
"Inventory","Magazyn"
"Inventory API","API stanów magazynowych"
"Inventory Section","Sekcja stanów magazynowych"
"Manage Stock","Zarządzaj stanami"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość dozwolona w koszyku"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość dozwolona w koszyku"
"No Backorders","Bez rezerwacji"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Out of Stock","Brak w magazynie"
"Product Stock Options","Opcje stanów magazynowych"
"Qty for Items' Status to become Out of Stock","Ilość przy której status zmienia się na Brak w magazynie"
"Retrieve stock data","Pobierz dane stanów magazynowych"
"Retrieve stock data by product ids","Pobierz dane stanów magazynowych wg id produktu"
"Rule price","Reguła ceny"
"Set Items' Status to be In Stock When Order is Cancelled","Ustaw status produktu na Dostępny kiedy zamówienie zostanie anulowane"
"Some of the products are currently out of stock","Część produktów jest obecnie niedostępna"
"Some of the products can not be ordered in requested quantity","Niektóre z produktów nie mogą zostać zamówione w podanej ilości"
"Some of the products cannot be ordered in the requested quantity","Niektóre z produktów nie mogą zostać zamówione w podanej ilości"
"Stock Options","Opcje stanów"
"Stock item for Product in option is not valid","Jednostka ilości dla produktu w opcji nie jest poprawna"
"Stock item for Product is not valid","Jednostka ilości dla produktu nie jest poprawna"
"The maximum quantity allowed for purchase is %s.","Maksymalna wielkość zamówienia to %d."
"The minimum quantity allowed for purchase is %s.","Minimalna wielkość zamówienia to %d."
"The requested quantity for ""%s"" is not available.","Wymagana ilość ""%s"" nie jest dostępna."
"The requested quantity is not available.","Wybrana ilość nie jest dostępna."
"This product is currently out of stock.","Ten produkt jest obecnie niedostępny."
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"Update","Aktualizuj"
"Update product stock data","Aktualizuj dane stanów magazynowych"
"Update the Product","Aktualizuj produkt"
