"Actions","Operacje"
"Are you sure?","Czy na pewno tego chcesz?"
"Date Added","Data dodania"
"Error while marking as read. Please try again later.","Błąd podczas oznaczania jako przeczytane. Prosimy spróbować później."
"Error while marking. Please try again later.","Błąd podczas oznaczania. Prosimy spróbować później."
"Error while removing. Please try again later.","Błąd podczas usuwania. Spróbuj ponownie później."
"Last update","Ostatnia aktualizacja"
"Mark as Read","Oznacz jako przeczytane"
"Mark as read","Oznacz jako przeczytane"
"Message","Wiadomość"
"Message was successfully marked as read","Wiadomości zostały oznaczone jako przeczytane"
"Message was successfully removed","Wiadomość została usunięta"
"Messages Inbox","Skrzynka odbiorcza"
"Notifications","Powiadomienia"
"Please select messages","Wybierz wiadomości"
"Read Details","Czytaj szczegóły"
"Remove","Usuń"
"Severity","Priorytet"
"Show List","Pokaż listę"
"Show Toolbar","Pokaż pasek narzędzi"
"Total of %d record(s) were successfully marked as read","%d wpisów zostało oznaczonych jako przeczytane"
"Total of %d record(s) were successfully removed","%d wpisów zostało usuniętych"
"Unable to proceed. Please, try again","Nie można kontynuować. Spróbuj ponownie."
"Update frequency","Aktualizuj częstotliwość"
"Use HTTPS to get feed","Używaj HTTPS do pobierania kanałów"
"critical","krytyczny"
"major","ważne"
"minor","drobne"
"notice","informacja"
