"-- Please Select --","-- Wybierz --"
"Account Registration","Rejestracja konta"
"All fields of script types have to be filled.","Wszystkie pola skryptu muszą być wypełnione."
"Attributes","Cechy"
"Category View Optimization","Optymalizacji widoku kategorii"
"Control Script","Skrypt kontrolny"
"Conversion Page","Strona konwersji"
"Conversion Page URL","URL strony konwersji"
"Conversion Script","Skrypt konwersji"
"Enable","Włącz"
"Google Optimizer Scripts","Skrypty Optymalizatora Witryny Google"
"Google Website Optimizer","Optymalizator Witryny Google"
"Install Scripts","Instaluj skrypty"
"Limit is 8 attributes only.","Limit to tylko 8 cech."
"Multi Address Checkout","Zamówienie z wieloma adresami"
"One Page Checkout","Zamówienie w jednym kroku"
"Order Success (Multi Address Checkout)","Powodzenie zamówienia (zamówienie z wieloma adresami)"
"Order Success (One Page Checkout)","Powodzenie zamówienia (zamówienie w jednym kroku)"
"Original Page","Oryginalna strona"
"Other","Inne"
"Page Type","Typ strony"
"Page View Optimization","Optymalizacja widoku strony"
"Please copy and paste this value to experiment edit form","Kopiuj i wklej tę wartość do eksperymentalnego formularza"
"Please select store view to see the URL","Wybierz widok sklepu, aby zobaczyć URL"
"Product View Optimization","Optymalizacja widoku produktu"
"Scripts Install URL","URL instalacji skryptu"
"Shopping Cart","Koszyk"
"Tracking Script","Skrypt śledzący"
"Use Default","Użyj domyślnych"
"Use Default Values","Użyj domyślnych wartości"
"Variant Page","Wariant strony"
