" Copy","  Kopia"
"Action","Operacja"
"Add New Template","Dodaj nowy szablon"
"Add to Queue","Dodaj do kolejki"
"Are you sure that you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"Are you sure that you want to strip all tags?","Czy na pewno chcesz usunąć wszystkie znaczniki?"
"Back","Powrót"
"Cancel","Anuluj"
"Cancelled","Anulowane"
"Cannot delete subscriber","Nie można usunąć subskrybenta"
"Cannot delete template","Nie można usunąć szablonu"
"Cannot mark as received subscriber","Nie można oznaczyć subskrybenta "
"Cannot save your subscription: %s","Nie można zapisać subskrypcji: %s"
"Confirmation Email Sender","Nadawca wiadomości potwierdzenia"
"Confirmation Email Template","Szablon wiadomości potwierdzenia"
"Confirmation request has been sent","Prośba o potwierdzenie zostało wysłane"
"Convert to Plain Text","Konwertuj na tekst niesformatowany"
"Create Newsletter Template","Utwórz szablon newslettera"
"Customer","Klient"
"Customer Firstname","Imię klienta"
"Customer Lastname","Nazwisko klienta"
"Date Added","Data dodania"
"Date Updated","Data aktualizacji"
"Delete Selected Problems","Usuń zaznaczone problemy"
"Delete Template","Usuń szablon"
"Do you really want to cancel the queue?","Czy na pewno chcesz anulować kolejkę?"
"Duplicate of template code","Duplikuj kod szablonu"
"Edit Newsletter","Edycja newslettera"
"Edit Newsletter Template","Edycja szablonu newslettera"
"Edit Queue","Edycja kolejki"
"Edit Template","Edycja szablonu"
"Email","E-mail"
"Enter your email address","Wprowadź swój adres e-mail"
"Error Code","Kod błędu"
"Error Text","Tekst błędu"
"Form was filled incorrectly","Formularz zawiera błędy"
"Guest","Gość"
"ID","ID"
"Invalid queue selected","Wybrano nieprawidłową kolejkę"
"Invalid subscriber ID","Błędne ID subskrybenta"
"Invalid subscription ID","Błędne ID subskrybcji"
"Invalid subscription confirmation code","Nieprawidłowy kod potwierdzający subskrypcję"
"Message","Wiadomość"
"Need to Confirm","Wymaga potwierdzenia"
"New Newsletter Template","Nowy szablon newslettera"
"New Template","Nowy szablon"
"Newsletter","Mailing"
"Newsletter Message Preview","Podgląd newslettera"
"Newsletter Problem Reports","Raporty problemów z wysyłką newslettera"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Section","Sekcja newslettera"
"Newsletter Sign-up","Zapisz się do Newsletter'a"
"Newsletter Subscribers","Subskrybenci newslettera"
